num	last	underflow	overflow	count
10	13	2	3	9
11	13	3	2	7
12	13	4	1	6
13	18	2	5	6
14	14	5	0	5
15	17	4	2	5
16	20	3	4	5
17	23	2	6	5
18	26	1	8	5
19	19	9	0	4
20	26	4	6	9
21	29	3	8	8
22	26	6	4	7
23	34	2	11	7
24	26	8	2	6
25	31	6	6	6
26	36	4	10	6
27	41	2	14	6
28	28	10	0	5
29	31	9	2	5
30	39	6	9	9
31	37	8	6	8
32	50	1	18	8
33	39	9	6	7
34	47	5	13	7
35	55	1	20	7
36	39	12	3	6
37	44	10	7	6
38	49	8	11	6
39	54	6	15	6
40	52	8	12	9
41	45	13	4	8
42	58	6	16	8
43	44	16	1	7
44	52	12	8	7
45	60	8	15	7
46	68	4	22	7
47	47	18	0	6
48	52	16	4	6
49	57	14	8	6
50	65	10	15	9
51	53	18	2	8
52	66	11	14	8
53	79	4	26	8
54	57	19	3	7
55	65	15	10	7
56	73	11	17	7
57	81	7	24	7
58	89	3	31	7
59	60	22	1	6
60	78	12	18	9
61	61	23	0	8
62	74	16	12	8
63	87	9	24	8
64	100	2	36	8
65	70	22	5	7
66	78	18	12	7
67	86	14	19	7
68	94	10	26	7
69	102	6	33	7
70	91	14	21	9
71	112	2	41	9
72	82	21	10	8
73	95	14	22	8
74	108	7	34	8
75	75	29	0	7
76	83	25	7	7
77	91	21	14	7
78	99	17	21	7
79	107	13	28	7
80	104	16	24	9
81	125	4	44	9
82	90	26	8	8
83	103	19	20	8
84	116	12	32	8
85	129	5	44	8
86	88	32	2	7
87	96	28	9	7
88	104	24	16	7
89	112	20	23	7
90	117	18	27	9
91	138	6	47	9
92	98	31	6	8
93	111	24	18	8
94	124	17	30	8
95	137	10	42	8
96	150	3	54	8
97	101	35	4	7
98	109	31	11	7
99	117	27	18	7
100	149	19	49	13
